Model,EPA Combined Driving Range (km),
Lucid Air,830,
Tesla Model S,652,
Hyundai Ioniq 6,581,
Tesla Model 3,576,
Mercedes-Benz EQS,563,
Tesla Model X,560,
Tesla Model Y,531,
GMC Hummer EV Pickup,529,
Rivian R1T,528,
BMW iX,521,
