Type,City,Country,Latitude,Longitude
destination charger,Bad Kötzting,Germany,49.215865,12.829478
destination charger,Brake,Germany,53.326744,8.485892
destination charger,Ussel,France,45.573273,2.340092
destination charger,Saratoga Springs,United States,43.079349,-73.790155
destination charger,Tonnay Boutonne,France,45.969014,-0.70667
destination charger,Wellington,New Zealand,-41.279374,174.774704
supercharger,Winchester,United Kingdom,51.1672595,-1.3290279
supercharger,Buttonwillow,United States,35.400105,-119.397796
destination charger,Brusnice,Slovenia,45.822471,15.243265
destination charger,Higham,United Kingdom,53.125839,-1.418979
destination charger,Yarmouth,Canada,43.836483,-66.118878
destination charger,Toronto,Canada,43.651448,-79.376162
destination charger,Bruxelles,Belgium,50.840851,4.338622
destination charger,Kamloops,Canada,50.671634,-120.354883
destination charger,Jenolan,Australia,-33.818282,150.023718
destination charger,South Lake Tahoe,United States,38.919414,-119.996447
destination charger,Dayton,United States,39.737172,-84.191355
destination charger,Monterey,United States,36.599754,-121.894638
destination charger,Lac-Mégantic,Canada,45.575391,-70.87966
destination charger,Sedona,United States,34.789847,-111.764
standard charger,Hong Kong,"Hong Kong S.A.R., China",22.3299408,114.192977
supercharger,台中,Taiwan,24.15162,120.664184
destination charger,Recklinghausen,Germany,51.613404,7.200865
destination charger,尾道市浦崎町,Japan,34.3923597,133.287668
destination charger,Edmonton,Canada,52.889442,-118.077288
supercharger,Austin,United States,30.329275,-97.706259
destination charger,Dolni Lomna,Czech Republic,49.561064,18.739657
destination charger,Calistoga,United States,38.590351,-122.594049
supercharger,Dows,United States,42.674008,-93.462779
supercharger,Alpharetta,United States,34.071317,-84.27505
destination charger,廿日市,Japan,34.273458,132.254089
destination charger,南屯區,Taiwan,24.149763,120.646521
supercharger,Shanghai,China Mainland,31.13140735,121.4000992
destination charger,St Louis,United States,38.648323,-90.331685
destination charger,Blaine,United States,45.161348,-93.219438
destination charger,New York,United States,40.764552,-73.962034
destination charger,McCarran,United States,39.553949,-119.49039
destination charger,Aschheim-Dornach,Germany,48.150085,11.682085
destination charger,Tulsa,United States,36.1385333,-95.9881492
destination charger,Nove Mesto nad Metuji,Czech Republic,50.346617,16.150842
destination charger,Louth,United Kingdom,53.344266,0.019434
destination charger,Valkenburg aan de Geul,Netherlands,50.85975,5.823513
destination charger,Vigo di Fassa,Italy,46.421146,11.673972
destination charger,Castagneto Carducci,Italy,43.165449,10.615172
standard charger,Watford,United Kingdom,51.653968,-0.376298
destination charger,Paso Robles,United States,35.578571,-120.739736
destination charger,Lauterbach,Germany,48.226165,8.356948
destination charger,s-Gravenvoeren,Belgium,50.75886,5.763014
destination charger,Gibraltar,Gibraltar,36.132059,-5.350203
destination charger,Beveno,Italy,45.91569,8.502065
destination charger,Baveno,Italy,45.911652,8.503313
destination charger,Stresa,Italy,45.887966,8.531679
supercharger,Simi Valley,United States,34.272092,-118.797297
destination charger,Montpellier,France,43.612969,3.884764
destination charger,Geiranger,Norway,62.096554,7.21038
destination charger,Le Touquet-Paris-Plage,France,50.500536,1.598194
destination charger,Lenox,United States,42.341095,-73.266561
destination charger,Playa del Carmen,Mexico,20.632842,-87.06741
destination charger,Chamonix-Mont-Blanc,France,45.924657,6.868339
standard charger,Tollered,Sweden,57.81956,12.416244
destination charger,Warsaw,United States,41.23876,-85.819659
destination charger,Salem,United States,37.265168,-80.03218
destination charger,Samnaun-Laret,Switzerland,46.959662,10.399642
destination charger,Portland,United States,45.531111,-122.647946
destination charger,Oberstdorf,Germany,47.405243,10.270772
destination charger,Houston,United States,129.783684,-95.650532
destination charger,Euthal,Switzerland,47.096984,8.814409
destination charger,Isle of Seil,United Kingdom,56.31776,-5.584132
destination charger,Les Eyzies de Tayac,France,44.94086,1.007753
destination charger,Stockerau,Austria,48.385495,16.212156
destination charger,Nesselwaengle,Austria,47.462465,10.620057
destination charger,San Pedro Garza Garcia,Mexico,25.660371,-100.34089
destination charger,Sydney,Australia,-33.854268,151.208195
destination charger,Bridgeport,United States,38.187013,-119.204192
destination charger,Prairie City,United States,44.46317,-118.709754
destination charger,Plano,United States,33.045043,-96.702983
destination charger,Big Sur,United States,36.124239,-121.637041
destination charger,Amsterdam,Netherlands,52.335616,4.848441
destination charger,Washington,United States,38.9033344,-77.0536137
destination charger,Flagstaff,United States,34.914573,-111.822356
destination charger,Baltimore,United States,39.291987,-76.615821
destination charger,New York,United States,40.776813,-73.977083
destination charger,Dubrovnik,Croatia,42.694981,18.015207
destination charger,New York,United States,40.737171,-73.994331
destination charger,Port Jervis,United States,41.346268,-74.643466
destination charger,Rimini,Italy,44.054502,12.59469
destination charger,Oklahoma City,United States,35.447737,-97.596021
destination charger,Albany,Australia,-35.027991,117.879037
destination charger,Ghent,Belgium,51.054624,3.715143
destination charger,San Diego,United States,32.7143935,-117.1632054
destination charger,Ruston,United States,32.541802,-92.640078
destination charger,Paso Robles,United States,35.59795,-120.83332
supercharger,Victoria,United States,28.766853,-96.978988
destination charger,Whistler,Canada,50.1177,-122.946633
destination charger,Shenzhen,China,22.532206,113.987152
destination charger,Palm Desert,United States,33.7603,-116.362218
destination charger,Hangzhou,China,30.344009,120.381998
supercharger,Aurland,Norway,60.898649,7.210826
destination charger,Jackson,United States,44.146888,-71.182049
destination charger,Los Angeles,United States,33.94584,-118.381748
destination charger,Saint-Genis-Pouilly,France,46.236966,6.027621
destination charger,Paso Robles,United States,35.645249,-120.802495
supercharger,Rouvignies,France,50.336704,3.455931
destination charger,Napa,United States,38.348616,-122.264465
destination charger,Charlottesville,United States,38.031934,-78.493365
supercharger,Blaine,United States,48.937845,-122.667679
destination charger,San Diego,United States,32.938489,-117.197766
destination charger,New York,United States,40.70663,-74.016916
supercharger,Middelfart,Denmark,55.51074628,9.764323729
supercharger,Revelstoke,Canada,51.009594,-118.218857
destination charger,Napa,United States,38.441024,-122.39928
supercharger,Anaheim,United States,33.805025,-117.88263
destination charger,Oberstaufen,Germany,47.558267,10.018096
destination charger,Seattle,United States,47.609629,-122.333133
standard charger,Hong Kong,"Hong Kong S.A.R., China",22.371816,113.992463
standard charger,Hong Kong,"Hong Kong S.A.R., China",22.280593,114.176746
destination charger,Jever,Germany,53.56384,7.885819
destination charger,Oetz,Austria,47.20581,10.889921
destination charger,Ratzeburg,Germany,53.697157,10.759872
destination charger,Neumuenster,Germany,54.04391,9.978857
destination charger,Jackson,United States,44.156251,-71.185197
destination charger,Cuajimalpa,Mexico,19.361672,-99.266168
supercharger,Chicago,United States,41.998752,-87.888342
destination charger,Firenze,Italy,43.758602,11.244447
destination charger,West Lafayette,United States,40.28498,-81.7050626
destination charger,Hermago,Austria,46.564284,13.27212
destination charger,Napa Valley,United States,38.344114,-122.326251
destination charger,Falkert,Austria,46.863884,13.828677
destination charger,Feldkirchen,Austria,46.995103,15.446119
destination charger,Bad Waltersdorf,Austria,47.159686,16.006935
destination charger,Tullarmarine,Australia,-37.691272,144.877838
destination charger,Kensington,Australia,-33.903437,151.214947
destination charger,Canberra,Australia,-35.28388,149.125867
destination charger,Boyne Falls,United States,45.16298,-84.931622
destination charger,Fort Lauderdale,United States,26.101495,-80.114496
destination charger,Paso Robles,United States,35.569905,-120.741587
destination charger,Mandeville,United States,29.954968,-90.070728
destination charger,Calgary,Canada,51.044751,-114.063429
destination charger,Dahlonega,United States,34.564973,-84.058426
destination charger,Robe,Australia,-37.165644,139.762028
destination charger,Tørvikbygd,Norway,60.25065,6.138798
destination charger,Toronto,Canada,43.64693,-79.3819
destination charger,Uttendorf,Austria,47.284731,12.57265
destination charger,Estacada,United States,45.286154,-122.334579
destination charger,Obsteig,Austria,47.310318,10.888786
destination charger,Bindslev,Denmark,57.590651,10.188783
destination charger,Colorado Springs,United States,38.811718,-104.723183
destination charger,Albuquerque,United States,35.038494,-106.618818
destination charger,Gressy,France,48.965345,2.672762
destination charger,Maria Alm-Hinterthal,Austria,47.4093,12.980014
destination charger,"Calle Alicante, Km. 73,4",Spain,38.108849,-0.656044
destination charger,Schwendi,Germany,48.176224,9.975407
destination charger,Monterrey,Mexico,25.575785,-100.248251
destination charger,Calistoga,United States,38.584002,-122.575808
destination charger,Les Baux-de-Provence,France,43.731909,4.801986
destination charger,Pismo Beach,United States,35.14834,-120.650611
destination charger,Waterloo,Canada,43.435851,-80.562444
destination charger,Frechen bei Köln,Germany,50.907714,6.808981
destination charger,Kelowna,Canada,49.898718,-119.495865
destination charger,Zeulenroda,Germany,50.666796,11.979261
destination charger,New York,United States,40.76476,-73.976153
destination charger,New York,United States,40.769061,-73.96876
destination charger,Saint-Elie-de-Caxton,Canada,46.487565,-72.959026
destination charger,Orlando,United States,28.526026,-81.376066
destination charger,Fort Walton Beach,United States,30.39567,-86.595344
destination charger,Gol i Hallingdal,Norway,60.803814,8.95448
destination charger,Öland,Sweden,56.784986,16.578056
destination charger,Ravensthorpe,Australia,-33.578512,120.053985
destination charger,Kinvara,Ireland,53.139283,-8.939299
destination charger,Wernigerode,Germany,51.836671,10.785125
destination charger,Gersfeld,Germany,50.499361,9.947033
destination charger,Streetsboro,United States,41.241904,-81.351722
destination charger,Derby,United Kingdom,52.904484,-1.448363
destination charger,McLaren Vale,Australia,-35.210008,138.530528
destination charger,Creston,Canada,49.095878,-116.514887
destination charger,恆春鎮,Taiwan,21.943058,120.713364
destination charger,Dubai,United Arab Emirates,25.129437,55.153146
destination charger,Dubai,United Arab Emirates,25.112116,55.138098
destination charger,Lyndhurst,United Kingdom,50.862364,-1.554802
destination charger,Nativitas,Mexico,19.191477,-98.290129
supercharger,Aydin,Turkey,37.818957,27.842558
destination charger,Taupo,New Zealand,-38.628249,176.089935
destination charger,La Quinta,United States,33.660694,-116.244489
destination charger,Grindelwald,Switzerland,46.623215,8.03845
supercharger,Triadelphia,United States,40.061396,-80.6024
destination charger,Jekyll Island,United States,44.335154,-73.352053
destination charger,Cheserex,Switzerland,46.402679,6.149496
destination charger,Livinallongo del Coldilana,Italy,46.510924,11.875351
destination charger,Schiller Park,United States,41.954697,-87.862552
destination charger,Costa Mesa,United States,33.66535,-117.881234
destination charger,Bad Nenndorf,Germany,52.345561,9.333668
destination charger,Samaniego,Spain,42.576977,-2.662853
destination charger,Seal Beach,United States,33.776049,-118.072221
destination charger,Orange,United States,33.790277,-117.890929
destination charger,St. Helena,United States,38.487409,-122.437755
destination charger,Stockerau,Austria,48.386203,16.215588
destination charger,Leutschach,Austria,46.643877,15.513646
destination charger,Eversley Centre,United Kingdom,51.348932,-0.872132
destination charger,Skaneateles,United States,42.945065,-76.442674
destination charger,Wels,Austria,48.152811,14.012608
destination charger,New York,United States,40.771555,-73.986428
destination charger,New York,United States,40.74979,-74.005335
destination charger,Bad Hofgastein,Austria,47.172509,13.100316
destination charger,El Paso,United States,31.720516,-106.3036
destination charger,Leogang,Austria,47.438042,12.735936
standard charger,豐濱鄉,Taiwan,23.61933,121.528951
destination charger,Bussigny,Switzerland,46.556469,6.561357
destination charger,浦安市,Japan,35.627193,139.874327
supercharger,Birchanger Green,United Kingdom,51.871619,0.193886
destination charger,文山區,Taiwan,24.997411,121.578815
supercharger,Cerritos,United States,33.864724,-118.091532
destination charger,Oliver,Canada,49.099938,-119.563513
destination charger,Mactier,Canada,45.210543,-79.791464
destination charger,Luzern,Switzerland,47.051512,8.304516
destination charger,Setubal,Portugal,38.530871,-8.90229
supercharger,Marlton,United States,39.877502,-74.918512
destination charger,Rio Maior,Portugal,39.337621,-8.938982
standard charger,Camberwell,Australia,-37.830042,145.055257
destination charger,Newberg,United States,45.272167,-123.016364
destination charger,Grafenhausen,Germany,47.769995,8.257565
destination charger,大阪市,Japan,34.706482,135.4944527
destination charger,Philo,United States,39.102721,-123.49261
destination charger,大阪市,Japan,34.6901817,135.4876718
destination charger,Yamhill,United States,45.338976,-123.129715
destination charger,Ennetbuergen,Switzerland,46.99511,8.402752
supercharger,Firebaugh,United States,36.639154,-120.625877
destination charger,Basel,Switzerland,47.573774,7.563809
destination charger,Lounovice,Czech Republic,49.981165,14.762465
destination charger,양주시,South Korea,37.743905,126.949554
supercharger,Macau,"Macao S.A.R., China",22.190596,113.555955
destination charger,West Palm Beach,United States,26.706409,-80.051881
supercharger,Lima,United States,44.632492,-112.591718
destination charger,Tequesquitengo,Mexico,18.637547,-99.271005
destination charger,Eugénie-Les-Bains,France,43.695322,-0.378979
destination charger,Molitg-les-Bains,France,42.647125,2.387146
destination charger,New York,United States,40.740458,-73.989037
destination charger,Gemieira,Portugal,41.775099,-8.534448
supercharger,Red Bluff,United States,40.182245,-122.22754
destination charger,Mesa,United States,39.0693962,-108.1507337
destination charger,Monterey,United States,36.592792,-121.894115
destination charger,Sarasota,United States,27.393601,-82.547125
supercharger,Morioka,Japan,39.685291,141.127986
destination charger,Springfield,United States,37.207119,-93.291212
destination charger,Carmarthenshire,United Kingdom,51.771089,-4.4622
supercharger,Woodbridge,United States,40.535859,-74.297322
destination charger,Scottsdale,United States,33.5666361,-111.9186835
destination charger,Richmond,United States,37.626376,-77.528253
standard charger,Crans-Montana,Switzerland,46.301546,7.467689
destination charger,Summerland,Canada,49.5665951,-119.663823
destination charger,Liege,Belgium,50.6311265,5.5743027
supercharger,Barnsley,United Kingdom,53.489393,-1.486223
supercharger,Conifer,United States,39.544084,-105.289877
destination charger,Radovi,Montenegro,42.392379,18.667945
destination charger,Hope Valley,United States,38.7747706,-119.9029911
destination charger,Carmel-by-the-Sea,United States,36.5593468,-121.9209566
destination charger,Orange,Australia,-33.272143,149.0139
supercharger,Easton,United States,38.759287,-76.061623
standard charger,Piestany,Slovakia,48.588507,17.83655
supercharger,Lugo,Spain,43.03653,-7.568994
destination charger,Vantaa,Finland,60.316395,24.964059
destination charger,Valle de Guadalupe,Mexico,32.079265,-116.652402
destination charger,Puerto Vallarta,Mexico,20.6759,-105.252053
destination charger,Guadalajara,Mexico,20.67616,-103.365281
destination charger,White,United States,34.241831,-84.770259
supercharger,Aberystwyth,United Kingdom,52.404698,-4.064559
destination charger,Boswinger,United Kingdom,50.237213,-4.819088
supercharger,Hong Kong,"Hong Kong S.A.R., China",22.324074,114.20381
destination charger,Roswell,United States,34.021851,-84.330059
destination charger,Springfield,United States,37.2129649,-93.37103
destination charger,Virginia Beach,United States,36.9114672,-76.0742967
supercharger,Erftstadt,Germany,50.796377,6.780047
destination charger,Spinetta Marengo,Italy,44.885901,8.697258
destination charger,Seefeld,Austria,47.328654,11.188084
destination charger,New York,United States,40.746851,-73.972901
destination charger,Washington,United States,40.217788,-80.201721
destination charger,Tombstone,United States,31.722612,-110.074365
destination charger,Sierra Vista,United States,31.539518,-110.256469
standard charger,Hong Kong,"Hong Kong S.A.R., China",22.288481,114.142601
destination charger,Yarmouth,United Kingdom,50.679503,-1.469999
supercharger,Frederick,United States,39.384697,-77.405499
destination charger,Kungsbacka,Sweden,57.489045,12.077941
destination charger,Titusville,United States,28.552678,-80.854133
destination charger,Rho,Italy,45.524044,9.037719
destination charger,Bern,Switzerland,46.946566,7.446663
destination charger,San Pedro Garza García,Mexico,25.654045,-100.34878
destination charger,Fügen,Austria,47.341142,11.845178
supercharger,Umeå,Sweden,63.811159,20.250153
supercharger,新竹,Taiwan,24.807405,121.036283
destination charger,Austin,United States,30.256871,-97.872615
supercharger,Firenze,Italy,43.810258,11.17798
destination charger,Jasper,Canada,52.889442,-118.077288
destination charger,Dalian,China,38.89658,121.588098
destination charger,Abu Dhabi,United Arab Emirates,24.375752,54.531143
destination charger,Stowe,United States,44.529851,-72.781125
destination charger,Shanghai,China,31.187878,121.395972
destination charger,Changzhou City,China,31.707997,119.953652
destination charger,New York,United States,40.729234,-73.999013
destination charger,Yantai,China,37.358553,120.41703
destination charger,New York,United States,40.734412,-74.007184
destination charger,Yunfu,China,22.93824,112.062078
destination charger,Boothbay Harbor,United States,43.850803,-69.630398
destination charger,경기도,South Korea,37.76309,127.5418
destination charger,Sherbrooke,Canada,45.398536,-71.939706
destination charger,Bad Urach,Germany,48.493758,9.399548
destination charger,Austin,United States,30.396418,-97.931356
destination charger,Silkeborg,Denmark,56.203168,9.689767
destination charger,Yallingup,Australia,-33.665474,115.045167
destination charger,New York,United States,40.793158,-73.970319
destination charger,New York,United States,40.704514,-74.01074
supercharger,Kremmling,United States,40.059614,-106.387987
destination charger,Sedona,United States,34.864664,-111.799165
destination charger,New York,United States,40.762568,-73.982718
supercharger,Grums,Sweden,59.365814,13.145283
destination charger,Laredo,United States,27.56071,-99.446812
destination charger,Joigny,France,47.98365,3.385155
destination charger,Florence,United States,39.008849,-84.643136
destination charger,Lexington,United States,37.804211,-79.415913
destination charger,Oliver,Canada,49.164643,-119.593912
destination charger,Harrogate,United Kingdom,53.998732,-1.531386
destination charger,New Orleans,United States,29.966826,-90.055079
supercharger,Fountain Valley,United States,33.70275,-117.934297
destination charger,Manson,United States,47.920163,-120.186618
destination charger,Lancaster,United States,39.9948422,-76.2884552
standard charger,壽豐鄉,Taiwan,23.883135,121.601036
destination charger,Gettysburg,United States,39.8423436,-77.2618187
destination charger,Gravedona ed Uniti,Italy,46.138936,9.293523
destination charger,St Helena,United States,38.519294,-122.495569
destination charger,St. Augustine,United States,29.894283,-81.311564
destination charger,Oppenau,Germany,48.492244,8.185648
destination charger,Illertissen,Germany,48.22182,10.112265
destination charger,Rochester,United States,43.0876689,-77.6132767
destination charger,Sedona,United States,34.852782,-111.825062
destination charger,Granada,Spain,37.165901,-3.600441
destination charger,Rota,Spain,36.689131,-6.416068
destination charger,Dijon,France,47.340056,5.06103
destination charger,Kingsport,United States,36.549767,-82.525923
destination charger,Hobart,Australia,-42.883958,147.327016
destination charger,San Diego,United States,32.717043,-117.171821
standard charger,Hong Kong,"Hong Kong S.A.R., China",22.395614,113.972276
destination charger,Riccione,Italy,43.999523,12.661025
destination charger,津山市,Japan,35.038839,133.921168
destination charger,Chatt Hills,United States,33.528602,-84.743971
destination charger,Glen Innes,Australia,-29.738356,151.737835
destination charger,Olean,United States,42.0815605,-78.478454
destination charger,Olean,United States,42.0761731,-78.4669535
destination charger,Rab,Croatia,44.763683,14.749569
destination charger,Atlanta,United States,33.848401,-84.365385
destination charger,仙台市,Japan,38.256486,140.876175
destination charger,Stellendam,Netherlands,51.826405,4.0442323
destination charger,Cubry,France,47.487171,6.413977
destination charger,San Martino Alfieri,Italy,44.817966,8.109098
destination charger,神戸市,Japan,34.697033,135.187015
destination charger,Harrogate,United Kingdom,54.011137,-1.655352
destination charger,Le Coteau,France,46.010216,4.097372
destination charger,Oricola,Italy,42.069335,13.061442
destination charger,Seascale,United Kingdom,54.39432,-3.483791
destination charger,Broulee,Australia,-35.855908,150.172222
supercharger,Yamachiche,Canada,46.26221,-72.876971
destination charger,Bend,United States,44.034642,-121.334432
destination charger,Staunton,United States,38.150831,-79.068383
supercharger,Hinckley,United States,46.009797,-92.93137
supercharger,Estes Park,United States,40.38382,-105.519754
supercharger,Morelia - Acambaro,Mexico,19.841735,-101.025169
supercharger,Kyoto,Japan,34.986112,135.752512
destination charger,Twain Harte,United States,38.0435364,-120.2107225
supercharger,Wilnsdorf,Germany,50.816873,8.08576
supercharger,Borca di Cadore,Italy,46.435592,12.222879
destination charger,Carson,United States,45.729538,-121.821066
destination charger,台東市,Taiwan,22.830419,121.151713
destination charger,Rancho Mirage,United States,33.739751,-116.407298
destination charger,Sonoma,United States,38.300246,-122.404857
destination charger,Nathrop,United States,38.732843,-106.162829
destination charger,San Diego,United States,32.847417,-117.275211
destination charger,Sedona,United States,34.864598,-111.812758
destination charger,Midleton,Ireland,51.864838,-8.074237
destination charger,Stanhope,United States,40.905323,-74.709445
destination charger,McLean,United States,38.925974,-77.216181
destination charger,Fairfield,United States,41.759839,-72.738912
destination charger,Tux,Austria,47.155209,11.727727
destination charger,Terrace,Canada,54.516388,-128.587508
destination charger,Paso Robles,United States,35.657456,-120.545645
supercharger,Øyer,Norway,61.243354,10.434287
destination charger,Granbury,United States,32.43976,-97.788643
destination charger,Coruna,Spain,42.893194,-9.134705
destination charger,Saalbach,Austria,47.393809,12.632126
destination charger,Charlotte,United States,35.22158,-80.85054
supercharger,Philadelphia,United States,39.951387,-75.158569
destination charger,Jasper,Canada,52.886147,-118.057083
destination charger,진도군 의신면,South Korea,34.40082106,126.3273995
destination charger,Leogang,Austria,47.434894,12.733702
destination charger,Bad Elster,Germany,50.285269,12.23953
destination charger,Sutherlin,United States,43.387736,-123.334434
destination charger,Berlin,Germany,52.528476,13.457533
destination charger,Pismo Beach,United States,35.152539,-120.660449
destination charger,Keystone,United States,43.876397,-103.452943
destination charger,Hart's Location,United States,44.11511,-71.355553
destination charger,Bryan,United States,30.646748,-96.302227
destination charger,Washington,United States,38.910623,-77.045745
destination charger,Garden City,United States,40.741248,-73.609369
destination charger,Key West,United States,24.571365,-81.755211
destination charger,Three Lakes,United States,45.796214,-89.170408
destination charger,Key West,United States,24.569042,-81.752669
supercharger,Burbank,United States,34.184915,-118.311702
destination charger,Melbourne Beach,United States,28.068094,-80.557665
destination charger,Lake Harmony,United States,41.02008425,-75.58740735
destination charger,Boscastle,United Kingdom,50.693404,-4.657036
destination charger,Velke Mezirici,Czech Republic,49.355686,16.011453
destination charger,North Bay,Canada,46.257563,-79.388172
destination charger,Marbella,Spain,36.506077,-4.824983
supercharger,Rockford,United States,42.243893,-88.978895
destination charger,Lancaster,United States,40.039804,-76.28137
destination charger,Pittsburgh,United States,40.454172,-79.954741
destination charger,Niagara Falls,Canada,43.0792267,-79.0826094
destination charger,Ancienne-Lorette,Canada,46.7881955,-71.3539628
supercharger,Hong Kong,"Hong Kong S.A.R., China",22.396244,113.974016
destination charger,Harrison Hot Springs,Canada,49.2988784,-121.7849185
destination charger,Cison di Valmarino,Italy,45.968691,12.135624
destination charger,Leiria,Portugal,39.80754,-8.842684
destination charger,Narrogin,Australia,-32.936085,117.167248
destination charger,Paso Robles,United States,35.576456,-120.690461
supercharger,Ensenada,Mexico,31.866196,-116.662089
supercharger,Bassano,Canada,50.791326,-112.450721
supercharger,Edison,United States,40.544595,-74.334113
destination charger,Asheville,United States,35.614854,-82.541825
destination charger,Jesenik,Czech Republic,50.227714,17.195742
destination charger,New York,United States,40.705115,-74.008089
supercharger,Palm Coast,United States,29.476293,-81.206367
destination charger,San Diego,United States,33.02097,-117.082304
destination charger,Santiago de Queretaro,Mexico,20.647339,-100.433201
destination charger,St Helena,United States,38.50118,-122.462916
destination charger,Bédoin,France,44.110169,5.183858
destination charger,Coffs Harbour,Australia,-30.306104,153.137202
destination charger,復興區,Taiwan,24.817412,121.374968
supercharger,Abington,United Kingdom,55.507062,-3.694858
destination charger,Galveston,United States,29.253198,-94.851373
destination charger,Cordoba,Mexico,18.894973,-96.935406
destination charger,Port Angeles,United States,48.1149208,-123.2683981
destination charger,Bladel,Netherlands,51.368976,5.23011
destination charger,Denver,United States,39.626647,-104.896197
destination charger,Austin,United States,30.269491,-97.742266
destination charger,Susanville,United States,40.4066955,-120.6322662
supercharger,Parkersburg,United States,39.263087,-81.544872
destination charger,Abu Dhabi,United Arab Emirates,24.488446,54.608821
destination charger,Tallahassee,United States,30.446294,-84.280133
destination charger,Oliver,Canada,49.1227778,-119.5808894
destination charger,Biella,Italy,45.555199,8.062903
destination charger,Soave,Italy,45.4204,11.2504
destination charger,Shenandoah,United States,30.177951,-95.452684
destination charger,Chippenham,United Kingdom,51.455099,-2.259527
destination charger,Great Yarmouth,United Kingdom,52.613105,1.737679
destination charger,Daytona Beach,United States,29.197235,-80.993018
destination charger,Kitzbuhel,Austria,47.448359,12.38507
destination charger,Albuquerque,United States,35.084183,-106.690044
supercharger,Edinburgh,United Kingdom,55.9453606,-3.3666667
destination charger,中山區,Taiwan,25.080276,121.55373
destination charger,Kaysersberg,France,48.138646,7.265454
destination charger,Pforzheim,Germany,48.886999,8.736759
destination charger,Delbrueck,Germany,51.787092,8.494138
destination charger,Luino,Italy,46.025571,8.750612
destination charger,Wark-On-Tyne,United Kingdom,55.085873,-2.22048
destination charger,Jersey City,United States,40.7133979,-74.04439
supercharger,El Paso,United States,31.8839,-106.58379
standard charger,Hong Kong,"Hong Kong S.A.R., China",22.279831,114.179712
destination charger,Los Angeles,United States,34.12755,-118.443664
supercharger,Falkenberg,Sweden,56.93193,12.51805
destination charger,Williamsburg,United States,44.801989,-85.487171
destination charger,Oberhausen,Germany,51.489903,6.887143
destination charger,Calistoga,United States,38.558501,-122.542644
destination charger,Coinsins,Switzerland,46.421468,6.242969
destination charger,St Marys,United States,30.721805,-81.547885
destination charger,Glenfield Park,Australia,-35.131202,147.341487
destination charger,Houston,United States,29.75713,-95.369525
supercharger,Effingham,United States,39.137114,-88.563468
destination charger,Bermagui,Australia,-36.419853,150.063283
destination charger,南屯區,Taiwan,24.146968,120.648943
destination charger,仁愛鄉,Taiwan,24.04106,121.155388
standard charger,魚池鄉,Taiwan,23.848655,120.929993
supercharger,Wausau,United States,44.931179,-89.662175
destination charger,Pinkafeld,Austria,47.369904,16.122809
destination charger,Narvik,Norway,68.4369965,17.4250748
destination charger,Bandon,United States,43.038263,-124.414356
standard charger,Strbske Pleso,Slovakia,49.118802,20.063368
destination charger,New Orleans,United States,29.947975,-90.066201
supercharger,Burlington,Canada,43.326276,-79.822231
destination charger,Wernigerode,Germany,51.830871,10.779932
supercharger,Chicoutimi,Canada,48.401176,-71.062036
destination charger,Lärbro,Sweden,57.836868,18.830627
destination charger,Mountain Village,United States,37.938809,-107.848019
destination charger,Bluefield,United States,37.254924,-81.217121
destination charger,Los Esculos,Spain,36.818334,-2.066775
destination charger,Valencia,Spain,39.488258,-0.361924
supercharger,Coolderry,Ireland,52.757822,-8.408856
destination charger,Paso Robles,United States,35.581241,-120.796249
destination charger,Tulsa,United States,36.153979,-95.988095
destination charger,Sirkka,Finland,67.807742,24.811447
destination charger,Dubai,United Arab Emirates,24.470286,54.370118
destination charger,Sea Ranch,United States,38.680822,-123.429276
destination charger,Vero Beach,United States,27.652234,-80.355707
destination charger,Gällö,Sweden,62.915494,15.191137
destination charger,Gardiner,United States,41.686314,-74.176669
destination charger,Sabro,Denmark,56.2122,10.01566
destination charger,Warren,United States,44.136938,-72.89247
destination charger,Mainz,Germany,49.996864,8.280712
destination charger,Pratdip,Spain,41.045968,0.857343
destination charger,Goderich,Canada,43.751467,-81.6973442
destination charger,Lake George,United States,43.4296,-73.711284
supercharger,Long Beach,United States,33.757516,-118.107482
destination charger,Tofte,United States,47.636469,-90.70809
destination charger,Cochrane,Canada,51.183707,-114.453523
destination charger,Gèdre,France,42.787402,0.020509
destination charger,Palm Springs,United States,33.852474,-116.52098
destination charger,Freiburg,Germany,47.996917,7.845582
destination charger,Oswego,United States,43.4602095,-76.4822386
destination charger,Dipperz,Germany,50.517776,9.814552
destination charger,Zapopan,Mexico,20.789447,-103.353957
destination charger,Vaduz,Liechtenstein,47.147118,9.523627
destination charger,Pezze di Greco,Italy,40.810233,17.434373
destination charger,Orange,Australia,-33.311781,149.021359
destination charger,Arroyo Grande,United States,35.122126,-120.588927
destination charger,Sargans,Switzerland,47.040646,9.434862
destination charger,Algund,Italy,46.679914,11.138077
destination charger,Madrid,Spain,40.451867,-3.585918
destination charger,Kosta,Sweden,56.848977,15.394627
supercharger,Leeds,United Kingdom,53.732774,-1.585622
destination charger,Bidart,France,43.438279,-1.582064
destination charger,Aldrans,Austria,47.251646,11.446246
supercharger,Aventura,United States,25.959456,-80.143016
destination charger,Kingston,Australia,-42.98075,147.294531
destination charger,Amealco de Bonfil,Mexico,20.204419,-99.99992
standard charger,Nitra,Slovakia,48.313735,18.085403
supercharger,Kingston,United States,41.941893,-74.027428
destination charger,Ixtapaluca,Mexico,19.310787,-98.827625
destination charger,Hopetoun,Australia,-33.918176,120.135887
destination charger,Courchevel,France,45.416667,6.628117
