Type,City,Country,Latitude,Longitude
destination charger,Reno,United States,39.504449,-119.779649
destination charger,Meursault,France,46.974105,4.773258
destination charger,Adro,Italy,45.600081,10.000733
destination charger,Fairburn,United States,33.540727,-84.5782672
destination charger,Montreal,Canada,45.506477,-73.554385
destination charger,台東市,Taiwan,22.794844,121.128507
destination charger,Guadalajara,Mexico,20.697882,-103.373736
destination charger,Kingston,Canada,44.226901,-76.498843
destination charger,Pismo Beach,United States,35.164407,-120.689728
standard charger,Caltignaga,Italy,45.525895,8.585776
supercharger,Bursa,Turkey,40.261878,28.923953
destination charger,New Plymouth,New Zealand,-39.053422,174.088886
destination charger,New York,United States,40.716268,-74.009491
destination charger,Chartres de Bretagne,France,48.034577,-1.712359
standard charger,魚池鄉,Taiwan,23.883701,120.919525
destination charger,Kettering,Australia,-43.12919715,147.2466391
destination charger,North Little Rock,United States,34.7981864,-92.2204068
destination charger,Conway,United States,35.1095405,-92.434177
destination charger,Conway,United States,35.0897479,-92.419566
destination charger,Healdsburg,United States,38.522965,-122.879001
destination charger,Surnadal,Norway,62.97294,8.725223
destination charger,Barcelona,Spain,41.393861,2.156727
destination charger,Palm Springs,United States,33.823254,-116.5478
destination charger,Alfeizerao,Portugal,39.503587,-9.104798
destination charger,Coarsegold,United States,37.214164,-119.708038
destination charger,Fremont,United States,37.532181,-122.000213
supercharger,Saint Louis County,United States,38.507459,-90.329069
destination charger,Vail,United States,39.642952,-106.379133
destination charger,Wanaka,New Zealand,-44.715077,169.13508
destination charger,울산광역시,South Korea,35.519702,129.430355
destination charger,Wayland,United States,42.631113,-85.656383
destination charger,Nusfjord,Norway,68.035771,13.346557
destination charger,Glen Arbor,United States,44.897565,-85.988658
destination charger,Paris,France,48.865738,2.258439
destination charger,三重県,Japan,34.361586,136.815808
destination charger,Oamaru,New Zealand,-45.091359,170.973725
supercharger,Guarda,Portugal,40.5594249,-7.2329302
destination charger,Riviere-du-Loup,Canada,47.828752,-69.553042
destination charger,Acapulco,Mexico,16.794313,-99.856011
destination charger,Summerland,Canada,49.6011203,-119.6533166
destination charger,Lake Moogerah,Australia,-28.029366,152.552856
destination charger,Orlando,United States,28.474705,-81.464334
destination charger,Greenock,Australia,-34.464024,138.92099
destination charger,Lakes Entrance,Australia,-37.8756,147.9948
supercharger,Annapolis,United States,38.980062,-76.540338
destination charger,Elk Grove Village,United States,42.0248324,-87.9606725
destination charger,Schiller Park,United States,41.9552467,-87.8826061
destination charger,Solana Beach,United States,32.980407,-117.259812
destination charger,Ottawa,Canada,45.347959,-75.91811
destination charger,Glenview,United States,42.0795693,-87.8654424
destination charger,Bend,United States,44.057922,-121.312053
destination charger,Gandosso,Italy,45.664738,9.893704
destination charger,Banchory,United Kingdom,57.08549,-2.505439
destination charger,Fresno,United States,36.8086559,-119.7810627
destination charger,Mayrhofen,Austria,47.167683,11.866111
standard charger,Saint-Florent,France,42.674082,9.295655
supercharger,Hartford,United States,41.788303,-72.65546
destination charger,Brancaster,United Kingdom,52.966055,0.678897
destination charger,Fort Worth,United States,32.824473,-97.059412
destination charger,Comano Terme,Italy,46.038024,10.876331
destination charger,Okanagan Falls,Canada,49.3247253,-119.5460569
supercharger,Menlo Park,United States,37.423395,-122.198224
supercharger,Idaho Falls,United States,43.485152,-112.05205
destination charger,Cuajimalpa,Mexico,19.358082,-99.276988
destination charger,Yulee,United States,30.6189156,-81.6455032
destination charger,Aigen im Mühlkreis,Austria,48.646221,13.971745
destination charger,Gustavo A madero,Mexico,19.443105,-99.085704
destination charger,Marche,Belgium,50.227369,5.346132
destination charger,Berlin,Germany,52.421306,13.167635
destination charger,"Whitehouse, Rosslare",Ireland,52.279376,-6.392995
destination charger,Galway,Ireland,53.313477,-8.985946
standard charger,Liberec,Czech Republic,50.766353,15.058664
destination charger,Fujairah,United Arab Emirates,25.507158,56.362748
destination charger,Pyhätunturi,Finland,67.021444,27.242337
supercharger,Seabrook,United States,42.895248,-70.869299
destination charger,St. Helena,United States,38.515494,-122.41096
destination charger,Cervinia,Italy,45.931932,7.630386
destination charger,Joplin,United States,37.044038,-94.481329
destination charger,Key West,United States,24.5618181,-81.805
destination charger,Dover,United States,43.1888713,-70.8877473
