Year,Sales,Body Type
2012,2682,Model S/X
2013,16942,Model S/X
2014,31655,Model S/X
2015,50658,Model S/X
2016,76243,Model S/X
2017,25930,Model S/X
2018,99310,Model S/X
2019,66708,Model S/X
2020,57085,Model S/X
2021,22950,Model S/X
2022,66705,Model S/X
2012,0,Model 3/Y
2013,0,Model 3/Y
2014,0,Model 3/Y
2015,0,Model 3/Y
2016,0,Model 3/Y
2017,1764,Model 3/Y
2018,146046,Model 3/Y
2019,300773,Model 3/Y
2020,442562,Model 3/Y
2021,911242,Model 3/Y
2022,1247146,Model 3/Y
